302.40698,316534

302.41992,315758

302.43286,312214

302.4458,312181

302.45874,314988

302.47168,311295

302.48465,311807

302.49759,311536

302.51053,311407

302.52347,311217

302.53641,307174

302.54935,316329

302.56229,313581

302.57523,313141

302.5882,312807

302.60114,309815

302.61407,319564

302.62701,322057

302.63995,327835

302.65289,320615

302.66583,317056

302.67877,311058

302.69171,313009

302.70465,312986

302.71759,311832

302.73053,315620

302.74347,312916

302.75641,311535

302.76935,308264

302.78232,308206

302.79526,314014

302.8082,311847

302.82114,310256

302.83408,310618

302.84702,313724

302.85995,311894

302.87289,311875

302.88583,317239

302.89874,319205

302.91168,321378

302.92462,321896

302.93756,321164

302.9505,323385

302.96344,320505

302.97638,313067

302.98932,309987

303.00226,312628

303.0152,308588

303.02814,313081

303.04108,309127

303.05402,314689

303.06696,318608

303.0799,317974

303.0928,309320

303.10574,308728

303.11868,308036

303.13162,314643

303.14456,318023

303.1575,312156

303.17044,308584

303.18338,306288

303.19629,307006

303.20923,312049

303.22217,310074

303.23511,312288

303.24805,316347

303.26099,322090

303.2739,323619

303.28683,316864

303.29977,319998

303.31271,310276

303.32565,314810

303.33856,312820

303.3515,309623

303.36444,308320

303.37738,309866

303.39032,307146

303.40323,304517

303.41617,306768

303.42911,305268

303.44205,311514

303.45496,311893

303.4679,310645

303.48083,316353

303.49377,311192

303.50668,308989

303.51962,313613

303.53256,316402

303.54547,310990

303.55841,311925

303.57135,311676

303.58429,313954

303.5972,317775

303.61014,315882

303.62308,329102

303.63599,337014

303.64893,330682

303.66187,321949

303.67477,317234

303.68771,311411

303.70062,309194

303.71356,309711

303.7265,314660

303.73941,310035

303.75235,310616

303.76529,309141

303.7782,308437

303.79114,308992

303.80405,310160

303.81699,311214

303.82993,311569

303.84283,311115

303.85577,309764

303.86868,307838

303.88162,306448

303.89453,312833

303.90747,311809

303.92041,309586

303.93332,311514

303.94626,324039

303.95917,312009

303.97211,316077

303.98502,321028

303.99796,319523

304.01086,322752

304.0238,331284

304.03671,337222

304.04965,323984

304.06256,318900

304.0755,315699

304.08841,313753

304.10135,311843

304.11426,311636

304.1272,310618

304.14011,308294

304.15305,306066

304.16595,303193

304.17886,305246

304.1918,307925

304.20471,309239

304.21765,310350

304.23056,307184

304.2435,307894

304.25641,313096

304.26932,315497

304.28226,316293

304.29517,311329

304.30811,307440

304.32101,307173

304.33392,309772

304.34686,308109

304.35977,309599

304.37268,305310

304.38562,306891

304.39853,311421

304.41144,313929

304.42438,322394

304.43729,334412

304.4502,336479

304.46313,329812

304.47604,326861

304.48895,320297

304.50189,313746

304.5148,311357

304.52771,314763

304.54065,312822

304.55356,312348

304.56647,309602

304.57938,310213

304.59232,312705

304.60522,306381

304.61813,307104

304.63104,304062

304.64398,305898

304.65689,303618

304.6698,300935

304.68271,302540

304.69565,309255

304.70856,306147

304.72147,307236

304.73438,312959

304.74731,311810

304.76022,308870

304.77313,312843

304.78604,308563

304.79895,308330

304.81186,306042

304.8248,307625

304.83771,311035

304.85062,311920

304.86353,320088

304.87643,325694

304.88934,338611

304.90228,339430

304.91519,324741

304.9281,318348

304.94101,318379

304.95392,315552

304.96683,312172

304.97974,311179

304.99265,313911

305.00555,312762

305.01846,311678

305.0314,313736

305.04431,311529

305.05722,308113

305.07013,309232

305.08304,312337

305.09595,310037

305.10886,309106

305.12177,313911

305.13467,314064

305.14758,313375

305.16049,312134

305.1734,310512

305.18631,322595

305.19922,314568

305.21213,320239

305.22504,319757

305.23795,310507

